Country,Category,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ST. VINCENT AND THE GRENADINES,Total Stay-over Visitors,No.,"72,894","70,686","77,622","78,535","86,721","95,504","97,432","89,532","84,101","75,446","72,478","73,866","74,364","71,725","70,713","75,381","79,395","75,972","80,080","85,296",n.a.
ST. VINCENT AND THE GRENADINES,Total Visitor Expenditure - EC$m,EC$M,116.29,112.21,125.28,122.77,258,280.51,305.8,297.03,259.3,236.35,232.7,247.55,254.2,249.33,249.44,258.51,270.34,256.78,281.84,317.26,n.a.
ST. VINCENT AND THE GRENADINES,Total Visitors,No.,"256,039","254,091","247,449","241,526","261,469","256,075","306,578","283,161","249,868","270,952","231,121","207,997","199,840","200,121","204,934","206,662","223,156","303,044","356,069","403,845",n.a.
ST. VINCENT AND THE GRENADINES,Yacht passengers,No.,"75,763","91,862","86,451","84,330","84,227","81,890","93,638","42,277","43,277","40,859","42,603","41,266","45,246","45,548","46,899","47,470","48,270","51,351","56,826","62,051",n.a.
ECCU,Cruise Ship Passengers,No.,"1,543,301","1,582,398","1,208,885","1,315,062","1,949,929","1,723,084","1,739,100","2,301,876","2,406,808","2,868,562","2,705,962","2,581,320","2,252,860","2,227,815","2,475,312","2,859,801","2,817,945","3,167,323","3,415,091","3,407,347",n.a.
ECCU,Excursionists,No.,"119,147","97,539","109,161","113,892","115,100","112,052","122,580","115,366","86,423","72,837","77,909","80,654","89,381","102,117","124,598","132,290","120,262","98,919","52,315","91,366",n.a.
ECCU,Number of cruise ship calls,No.,"1,710","1,526","1,417","1,560","1,854","1,501","1,679","1,728","1,464","1,673","1,585","1,537","1,462","1,485","1,652","1,788","1,819","2,060","1,941","1,934",n.a.
ECCU,Stay-over Visitors - Other Countries,No.,"114,654","89,901","79,346","90,225","91,153","98,300","102,107","107,089","101,290","95,272","99,476","102,627","102,392","100,981","115,230","113,529","112,854","119,557","115,362","131,971",n.a.
ECCU,Stay-over Visitors - USA,No.,n.a.,"274,807","282,840","295,796","350,447","375,246","392,911","385,372","381,635","324,307","365,554","373,345","380,641","396,536","424,744","444,139","471,181","469,746","484,882","566,017",n.a.
ECCU,Stay-over Visitors – Canada,No.,n.a.,"43,156","40,939","42,627","45,029","49,530","53,473","54,382","66,927","65,288","74,504","82,613","89,842","96,363","105,211","93,671","91,220","98,350","113,605","117,734",n.a.
ECCU,Stay-over Visitors – Caribbean,No.,"217,635","228,384","246,524","277,985","291,180","304,083","309,153","255,706","257,652","231,207","214,847","218,393","209,720","210,039","204,464","213,201","227,627","231,065","240,876","268,592",n.a.
ECCU,Stay-over Visitors – UK,No.,n.a.,"194,062","192,378","225,688","242,903","230,857","227,071","251,660","246,433","201,027","189,302","201,321","201,119","193,131","203,314","207,908","202,478","198,407","200,432","214,840",n.a.
ECCU,Total Stay-over Visitors,No.,"895,843","851,921","862,341","954,056","1,042,882","1,058,016","1,084,715","1,054,209","1,053,937","917,101","943,683","978,299","983,714","997,050","1,052,963","1,072,448","1,105,360","1,117,125","1,155,157","1,299,154",n.a.
ECCU,Total Visitor Expenditure - EC$m,EC$M,"2,483.67","2,298.99","2,262.90","2,442.81","2,825.32","3,087.17","3,079.28","3,873.87","3,605.50","3,187.46","3,624.90","3,855.11","4,470.39","4,770.57","5,247.91","5,384.90","5,361.82","5,595.62","6,048.38","6,747.73",n.a.
ECCU,Total Visitors,No.,"2,673,755","2,668,334","2,331,463","2,525,668","3,252,431","3,046,753","3,104,623","3,583,416","3,657,264","3,979,850","3,868,978","3,784,016","3,476,279","3,484,412","3,808,223","4,228,451","4,203,660","4,546,260","4,798,011","4,985,205",n.a.
ECCU,Yacht passengers,No.,"115,464","136,476","151,076","142,658","144,520","153,601","158,228","111,965","110,096","121,350","141,424","143,743","150,324","157,430","155,350","163,912","160,093","162,893","175,448","187,338",n.a.
