"Date","Central Government Total Revenue (TT$Mn)","Central Government Current Revenue (TT$Mn)","Central Government Tax Revenue (TT$Mn)","Central Government Taxes on Income and Profits (TT$Mn)","Central Government Taxes on Property (TT$Mn)","Central Government Taxes on Goods and Services (TT$Mn)","Central Government Taxes on International Trade (TT$Mn)","Central Government Tax Revenue - VAT (TT$Mn)","Central Government Non-Tax Revenue (TT$Mn)","Central Government Oil Revenue (TT$Mn)","Central Government Oil Sector - Tax Revenue (TT$Mn)","Central Government Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Oil Revenue (TT$Mn)","Central Government Non-Oil Sector - Tax Revenue (TT$Mn)","Central Government Non-Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Energy Revenue (TT$Mn)","Central Government Energy Sector - Tax Revenue (TT$Mn)","Central Government Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Energy Revenue (TT$Mn)","Central Government Non-Energy Sector - Tax Revenue(TT$Mn)","Central Government Non-Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Capital Revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Central Government Current Expenditure (TT$Mn)","Central Government Expenditure on Wages and Salaries (TT$Mn)","Central Government Expenditure on Goods & Services (TT$Mn)","Central Government Expenditure on Transfers and Subsidies (TT$Mn)","Central Government Expenditure on Subsidies (TT$Mn)","Central Government Transfers Abroad (TT$Mn)","Central Government Transfers to Non-Profit Insitutions (TT$Mn)","Central Government Transfers to Educational Insitutions (TT$Mn)","Central Government Transfers to Households (TT$Mn)","Central Government Transfers to State Enterprises (TT$Mn)","Central Government Transfers to Statutory Boards and Similar Bodies (TT$Mn)","Central Government Expenditure on Interest Payments (TT$Mn)","Central Government Capital Expenditure and Net Lending (TT$Mn)","Current Account Surplus(+) / Deficit (-) (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Primary Balance (TT$Mn)","Central Gov't Overall Fiscal Balance (TT$Mn)","Average Discount Rate - High (%)","Average Discount Rate - Low (%)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jan-2016","3058.8","3058.8","2260.8","998.4","0.2","1032.6","229.5","828.1","798","140.3","94.3","46","2914.4","2166.5","747.9","242.6","196.7","46","2816.2","2064.1","747.9","0","4042.6","3771.7","744.8","497.1","2257.7","0","-2","29.1","157.6","380.8","267.4","983.6","272.1","270.9","-712.8","-1226.4","-711.7","-983.8","5.11","4.93"
"Dec-2015","5987","5027.8","4221.7","2897.4","0.3","1011","313","842.5","806.1","444.2","364.8","79.4","4583.6","3856.8","726.7","1047","967.7","79.4","4940","3254","726.7","959.2","3397.2","3071.7","778","304.8","1847.1","22.6","4.6","21.2","131.2","720.1","113.8","478.9","141.9","325.5","1956.1","1542.7","2731.7","2589.8","4.93","4.93"
"Nov-2015","3196.2","3194","1576.6","604.9","0.3","681.1","290.3","503.9","1617.4","76.1","30","46.1","3117.3","1546.6","1570.7","79.2","33.1","46.1","3117","1543.5","1570.7","2.2","5737.5","5514","776.5","521.1","3865.4","22.1","3.6","22.6","180.8","1558.4","150.7","1275.7","350.9","223.5","-2320","-2620.5","-2190.4","-2541.3","4.86","4.68"
"Oct-2015","2040.6","2040.5","1875.1","857.9","0.2","704.6","312.4","550.8","165.4","295.9","166","129.9","1743.8","1709.1","34.8","307.2","177.3","129.9","1733.4","1697.8","34.8","0.1","2864.2","2823.8","707","298.8","1726.7","0","8.5","4.3","134.7","596.6","81.8","540","91.2","40.4","-783.3","-1130.8","-732.4","-823.6","4.68","4.68"
"Sep-2015","9478.5","7099.1","5220.1","3452.6","0.2","1352.9","414.4","1120.9","1879","1179.2","678.4","500.8","5919.9","4541.7","1378.2","1764.4","1263.5","500.8","7714.2","3956.6","1378.2","2379.5","9451.2","7498.4","946.3","1430.6","4390.6","40.7","42.4","30.2","225.8","2378.5","472.6","322","730.9","1952.7","-399.4","-1737","758.3","27.4","4.68","4.43"
"Aug-2015","3580.3","3578.7","2314.1","1258.4","0.2","799.8","255.7","642.3","1264.6","579.3","512","67.3","2999.4","1802.1","1197.3","579.6","512.2","67.3","3000.8","1801.9","1197.3","1.6","3135.8","2461.4","1357.9","608","154.4","23.6","63.7","31.1","137.5","-805.7","193.7","433.4","341.1","674.4","1117.3","-135","785.6","444.5","4.43","4.43"
"Jul-2015","5066.8","5031.3","3639.6","2494.1","0.5","882.4","262.5","707.5","1391.7","1927.9","1807.2","120.7","3103.4","1832.4","1271","1958.3","1837.6","120.7","3108.4","1802","1271","35.5","7218.5","6137.2","1319.9","735.5","3705","22.5","-0.3","28.5","135.2","1888.9","83.2","1104.1","376.8","1081.3","-1105.9","-4110.1","-1775","-2151.8","4.18","4.09"
"Jun-2015","4961","4961","4772.6","3797.5","0.2","723.9","250.9","557.8","188.4","1208.1","1207.7","0.5","3752.8","3564.9","187.9","1881.3","1880.8","0.5","3079.7","2891.7","187.9","0","3822.7","3406.1","728","575","1942.4","12.9","6.5","22.8","119.3","877.8","199.1","369.9","160.7","416.6","1554.9","-743","1299","1138.3","4.09","4.09"
"May-2015","4690","2240","1687.3","749.1","0.2","692.1","245.9","523.3","552.7","217.4","122.7","94.7","2022.6","1564.6","458","219.2","124.5","94.7","4470.8","1562.8","458","2450","4547.4","4008.8","752.7","608.1","2294.6","13.8","6.7","23.8","168.4","1159","143","333","353.4","538.6","-1768.8","-76.6","496.1","142.7","3.93","3.84"
"Apr-2015","4405.2","4403.8","4256.2","3295.1","0.2","742.7","218.2","528.9","147.6","1960.9","1871.5","89.5","2442.9","2384.8","58.1","2280.1","2190.6","89.5","2125","2065.6","58.1","1.3","6763.5","6001.1","692.6","572.8","4521","45.6","12.5","24.9","141.7","2481.2","319","946.4","214.7","762.4","-1597.2","-4638.4","-2143.7","-2358.3","3.84","3.84"
"Mar-2015","6588","6587.8","6147","5117.2","0.3","821.2","208.3","666.5","440.8","1996","1650.3","345.7","4591.7","4496.7","95.1","3749","3403.3","345.7","2839","2743.7","95.1","0.2","3801.9","3660.8","754.6","736.3","1930.9","11.8","7.8","24.1","149.3","708.5","112.6","486.2","238.9","141.1","2926.9","-963","3025","2786","3.68","3.59"
