"Date","Commercial Banks Average Excess Reserves (TT$Mn)","Central Government Net Domestic Fiscal Injections (TT$Mn)","Net Open Market Operations (TT$Mn)","Commercial Bank Required Reserves (TT Millions)","Commercial Bank Cash Reserves (TT Millions)","Commercial Bank Excess Reserves-End of Period (TT Millions)","Prescribed Deposits Liabilities (Adj.) (TT Millions)","Commercial Banks' Deposits - Secondary Reserve Requirements, Fixed Deposits & Special Deposits (TT Millions)","Commercial Banks' Treasury Bills (TT Millions)","Commercial Banks Local Cash in Hand (TT Millions)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","9713.1","1083.1","0","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2002","n.d","n.d","n.d","2707.4","2709.5","2.1","15041.1","96.9","1089.7","320.3"
"Jun-2002","n.d","n.d","n.d","2729.7","2760.3","30.6","15165.0","484.0","1069.1","234.2"
"May-2002","n.d","n.d","n.d","2776.6","2790.9","14.3","15425.6","169.7","1197.9","285.0"
"Apr-2002","n.d","n.d","n.d","2807.4","2791.2","16.2","15596.7","198.9","1346.5","279.0"
"Mar-2002","n.d","n.d","n.d","2740.9","2754.1","13.2","15227.2","442.2","1482.9","285.3"
"Feb-2002","n.d","n.d","n.d","2760.9","2763.7","2.8","15338.2","235.8","1361.3","296.2"
"Jan-2002","n.d","n.d","n.d","2811.3","2850.3","39.0","15618.3","50.5","1435.2","329.5"
"Dec-2001","n.d","n.d","n.d","2694.0","2682.7","-11.3","14966.7","783.1","1255.7","469.8"
"Nov-2001","n.d","n.d","n.d","2671.8","2672.8","1.0","14843.3","324.3","1602.9","224.9"
"Oct-2001","n.d","n.d","n.d","2601.0","2602.5","1.5","14450.0","593.7","1525.3","266.1"
"Sep-2001","n.d","n.d","n.d","2601.0","2509.4","91.6","14450.0","714.7","1136.0","241.2"
"Aug-2001","n.d","n.d","n.d","2394.6","2408.0","13.4","13303.3","490.9","1382.5","252.4"
"Jul-2001","n.d","n.d","n.d","2294.1","2296.1","2.0","12745.0","700.4","1486.8","245.3"
"Jun-2001","n.d","n.d","n.d","2267.9","2328.2","60.3","12599.4","155.0","1404.0","211.9"
"May-2001","n.d","n.d","n.d","2279.2","2483.9","204.7","12662.2","0.0","1447.5","273.2"
"Apr-2001","n.d","n.d","n.d","2609.1","2564.9","-44.2","12424.3","291.3","1454.5","222.2"
"Mar-2001","n.d","n.d","n.d","2629.0","2672.4","43.4","12519.0","361.3","1497.9","234.8"
"Feb-2001","n.d","n.d","n.d","2608.6","2611.3","2.7","12421.9","0.0","1280.7","254.0"
"Jan-2001","n.d","n.d","n.d","2620.7","2631.5","10.8","12479.5","168.3","1177.7","298.7"
"Dec-2000","n.d","n.d","n.d","2611.5","2658.9","47.4","12435.7","284.1","972.9","426.9"
"Nov-2000","n.d","n.d","n.d","2583.6","2663.7","80.1","12302.9","57.4","821.8","253.1"
"Oct-2000","n.d","n.d","n.d","2565.1","2548.5","-14.4","12214.8","139.1","931.4","265.1"
"Sep-2000","n.d","n.d","n.d","2560.2","2625.1","64.9","12191.4","82.9","906.9","208.0"
"Aug-2000","n.d","n.d","n.d","2596.7","2612.2","15.5","12365.2","60.5","877.7","242.5"
"Jul-2000","n.d","n.d","n.d","2552.6","2580.2","27.6","12155.2","74.6","791.3","207.1"
"Jun-2000","n.d","n.d","n.d","2526.8","2576.8","50.0","12032.4","264.0","877.7","186.0"
"May-2000","n.d","n.d","n.d","2540.8","2552.4","11.6","12099.0","28.0","1101.7","237.9"
"Apr-2000","n.d","n.d","n.d","2543.9","2571.0","27.1","12113.8","402.4","1224.8","235.3"
"Mar-2000","n.d","n.d","n.d","2529.5","2567.5","38.0","12045.2","309.9","1152.6","232.2"
"Feb-2000","n.d","n.d","n.d","2515.0","2496.2","-18.8","11976.2","42.1","1195.0","237.0"
"Jan-2000","n.d","n.d","n.d","2514.7","2546.9","32.2","11974.8","406.3","1020.8","238.4"
"Dec-1999","n.d","n.d","n.d","2515.8","2536.7","20.9","11980.0","21.0","849.5","416.6"
"Nov-1999","n.d","n.d","n.d","2524.8","2374.9","-149.9","12022.9","267.6","744.3","219.5"
"Oct-1999","n.d","n.d","n.d","2507.4","2588.1","80.7","11940.0","152.1","723.4","186.7"
"Sep-1999","n.d","n.d","n.d","2519.0","2515.0","-4.0","11995.2","409.6","851.6","236.3"
"Aug-1999","n.d","n.d","n.d","2581.5","2597.7","16.2","12292.9","116.2","819.8","192.7"
"Jul-1999","n.d","n.d","n.d","2601.6","2610.8","9.2","12388.6","25.0","886.5","182.4"
"Jun-1999","n.d","n.d","n.d","2572.1","2593.7","21.6","12248.0","178.9","897.8","199.1"
"May-1999","n.d","n.d","n.d","2537.0","2540.5","3.5","12081.0","166.0","910.7","198.1"
"Apr-1999","n.d","n.d","n.d","2551.2","2548.0","-3.2","12148.6","212.1","864.4","166.3"
"Mar-1999","n.d","n.d","n.d","2521.5","2530.0","8.5","12007.1","489.2","656.1","229.4"
"Feb-1999","n.d","n.d","n.d","2567.2","2570.2","3.0","12224.8","207.9","763.0","201.7"
"Jan-1999","n.d","n.d","n.d","2596.7","2603.8","7.1","12365.2","206.7","572.1","178.5"
"Dec-1998","n.d","n.d","n.d","2541.1","2547.9","6.5","12101.9","222.1","645.1","288.7"
"Nov-1998","n.d","n.d","n.d","2558.1","2543.0","-15.1","12181.4","307.2","715.6","161.6"
"Oct-1998","n.d","n.d","n.d","2560.6","2564.8","4.2","12193.3","76.8","663.4","171.6"
"Sep-1998","n.d","n.d","n.d","2548.9","2557.3","8.4","12137.6","119.0","911.6","207.8"
"Aug-1998","n.d","n.d","n.d","2459.4","2463.4","4.0","11711.4","211.7","928.1","184.9"
"Jul-1998","n.d","n.d","n.d","2472.1","2469.5","-2.6","11771.9","64.0","797.5","168.8"
"Jun-1998","n.d","n.d","n.d","2489.8","2516.5","26.7","11856.2","147.4","541.9","194.1"
"May-1998","n.d","n.d","n.d","2500.4","2567.5","67.1","11906.7","10.0","872.1","185.8"
"Apr-1998","n.d","n.d","n.d","2763.7","2672.7","91.0","13160.5","21.6","611.2","203.5"
"Mar-1998","n.d","n.d","n.d","2509.7","2492.8","-16.9","10457.1","264.5","845.0","156.7"
"Feb-1998","n.d","n.d","n.d","2483.8","2489.3","5.5","10349.2","65.3","974.0","180.8"
"Jan-1998","n.d","n.d","n.d","2518.8","2534.7","15.9","10495.0","0.0","724.3","153.9"
"Dec-1997","n.d","n.d","n.d","2443.2","2454.1","10.9","10180.0","58.2","720.8","260.4"
"Nov-1997","n.d","n.d","n.d","2091.5","2100.0","8.5","9959.5","18.7","1015.6","136.1"
"Oct-1997","n.d","n.d","n.d","2074.9","2080.7","5.8","9880.5","24.2","654.2","144.8"
"Sep-1997","n.d","n.d","n.d","2033.3","2011.0","-22.3","9682.4","193.4","709.2","173.4"
"Aug-1997","n.d","n.d","n.d","2039.4","2042.0","2.6","9711.4","12.6","696.4","145.0"
"Jul-1997","n.d","n.d","n.d","2047.9","2048.7","0.8","9751.9","116.2","898.1","158.7"
"Jun-1997","n.d","n.d","n.d","2021.8","1980.1","-41.7","9627.6","360.5","901.2","150.7"
"May-1997","n.d","n.d","n.d","1972.5","1990.1","17.6","9392.9","79.4","979.2","163.3"
"Apr-1997","n.d","n.d","n.d","1952.5","1957.4","4.9","9297.6","75.4","939.9","161.2"
"Mar-1997","n.d","n.d","n.d","2059.2","2059.7","0.5","9360.0","169.9","643.8","178.6"
"Feb-1997","n.d","n.d","n.d","2018.3","2026.4","8.1","9174.1","548.5","657.9","123.2"
"Jan-1997","n.d","n.d","n.d","2011.3","2028.6","18.2","9142.2","189.4","551.2","129.1"
"Dec-1996","n.d","n.d","n.d","2052.0","2062.4","10.4","8921.7","59.8","521.9","255.3"
"Nov-1996","n.d","n.d","n.d","2054.7","2054.7","0.1","8933.5","0.0","455.6","123.6"
"Oct-1996","n.d","n.d","n.d","2066.5","2083.0","16.5","8984.8","0.0","408.2","153.5"
"Sep-1996","n.d","n.d","n.d","1764.0","1895.6","131.6","8820.0","248.0","503.2","121.9"
"Aug-1996","n.d","n.d","n.d","1763.7","1863.2","99.5","8818.5","61.4","412.7","127.5"
"Jul-1996","n.d","n.d","n.d","1802.8","1892.3","89.5","9014.0","0.0","330.5","148.9"
"Jun-1996","n.d","n.d","n.d","1745.7","1869.4","123.7","8728.0","111.0","486.4","116.6"
"May-1996","n.d","n.d","n.d","1763.4","1866.9","103.4","8817.0","0.0","412.7","124.0"
"Apr-1996","n.d","n.d","n.d","1775.9","1924.8","148.9","8879.5","4.0","332.3","130.9"
"Mar-1996","n.d","n.d","n.d","1776.0","1878.4","102.4","8880.0","38.9","463.1","105.2"
"Feb-1996","n.d","n.d","n.d","1807.2","1942.7","135.9","9036.0","0.5","339.3","142.5"
"Jan-1996","n.d","n.d","n.d","1831.2","1931.4","100.2","9156.0","0.0","295.2","172.2"
"Dec-1995","n.d","n.d","n.d","1824.4","1955.5","131.1","9122.0","57.7","423.0","232.2"
"Nov-1995","n.d","n.d","n.d","1795.8","1795.9","0.1","8979.0","84.0","473.8","149.8"
"Oct-1995","n.d","n.d","n.d","1759.9","1750.6","-9.3","8799.5","4.9","494.1","151.5"
"Sep-1995","n.d","n.d","n.d","1774.0","1777.1","3.0","8870.0","33.0","554.5","139.9"
"Aug-1995","n.d","n.d","n.d","1780.9","1781.0","0.1","8904.5","24.8","427.1","146.6"
"Jul-1995","n.d","n.d","n.d","1773.9","1770.0","-3.9","8869.5","0.0","333.3","131.4"
"Jun-1995","n.d","n.d","n.d","1753.1","1763.4","10.3","8765.5","0.0","482.0","123.1"
"May-1995","n.d","n.d","n.d","1776.5","1778.1","1.6","8882.5","0.3","224.5","148.9"
"Apr-1995","n.d","n.d","n.d","1737.3","1735.6","-1.7","8686.5","110.6","539.6","156.3"
"Mar-1995","n.d","n.d","n.d","1725.5","1728.5","3.0","8627.5","192.5","511.6","147.7"
"Feb-1995","n.d","n.d","n.d","1752.2","1752.4","0.2","8761.0","76.4","0.0","128.1"
"Jan-1995","n.d","n.d","n.d","1747.1","1746.9","-0.2","8735.5","195.7","0.0","147.0"
"Dec-1994","n.d","n.d","n.d","1694.2","1691.9","-2.3","8471.0","423.6","n.d","204.8"
"Nov-1994","n.d","n.d","n.d","1664.0","1665.0","1.0","8320.0","295.0","n.d","118.2"
"Oct-1994","n.d","n.d","n.d","1634.2","1634.3","0.1","8171.0","245.3","n.d","124.9"
"Sep-1994","n.d","n.d","n.d","1648.3","1708.9","60.6","8241.5","146.6","n.d","117.8"
"Aug-1994","n.d","n.d","n.d","1647.3","1579.2","-68.1","8236.5","0.0","n.d","137.4"
"Jul-1994","n.d","n.d","n.d","1649.7","1591.8","-57.9","8248.5","0.0","n.d","106.3"
"Jun-1994","n.d","n.d","n.d","1487.6","1453.9","-33.7","8264.4","0.1","n.d","139.1"
"May-1994","n.d","n.d","n.d","1535.0","1525.4","-9.6","8527.8","0.0","n.d","153.5"
"Apr-1994","n.d","n.d","n.d","1530.6","1531.0","0.4","8503.3","187.7","n.d","117.5"
"Mar-1994","n.d","n.d","n.d","1346.2","1346.3","0.1","8413.8","141.6","n.d","115.6"
"Feb-1994","n.d","n.d","n.d","1346.4","1346.6","0.2","8415.0","0.0","n.d","107.1"
"Jan-1994","n.d","n.d","n.d","1354.8","1353.9","-0.9","8467.5","0.0","n.d","110.7"
"Dec-1993","n.d","n.d","n.d","1338.6","1070.8","-267.8","8366.3","0.0","n.d","150.5"
"Nov-1993","n.d","n.d","n.d","1325.6","1076.9","-248.7","8285.0","1.0","n.d","146.4"
"Oct-1993","n.d","n.d","n.d","1328.9","1246.2","-82.7","8305.6","0.0","n.d","108.9"
"Sep-1993","n.d","n.d","n.d","1335.1","1258.6","-76.5","8344.4","2.7","n.d","131.3"
"Aug-1993","n.d","n.d","n.d","1349.7","1350.0","0.3","8435.6","0.0","n.d","115.9"
"Jul-1993","n.d","n.d","n.d","1335.6","1337.3","1.7","8347.5","9.3","n.d","106.6"
"Jun-1993","n.d","n.d","n.d","1328.6","1332.9","4.3","8303.8","0.6","n.d","145.6"
"May-1993","n.d","n.d","n.d","1305.0","1241.1","-63.9","8156.3","0.0","n.d","97.3"
