"Date","Commercial Banks & NFIs – Credit to the Private Sector (TT$Mn)","Currency in Active Circulation (TT$Mn)","Commercial Bank Reserves with Central Bank (TT$Mn)","Demand Deposits (Adj.) (TT$Mn)","Saving Deposits (Adj.) (TT$Mn)","Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Demand Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Savings Deposits (Adj.) (TT$Mn)","NFIs - Foreign Currency Deposits (Adj.) (TT$Mn)","Banking System: Net Domestic Credit (TT$Mn)","Loans and Advances to Central Government (TT$Mn)","Banking System: Credit to the Private Sector (TT$Mn)","Base Money M-0 (TT$Mn)","Narrow Money M-1A (TT$Mn)","Money Supply M-1C (TT$Mn)","Money Supply M-2 (TT$Mn)","Money Supply M-2* (TT$Mn)","Money Supply M-3 (TT$Mn)","Money Supply M-3* (TT$Mn)","Quasi Money (TT$Mn)","Commercial Banks & NFIs - Total Deposits Outstanding (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Unincorporated Businesses (TT$Mn)","Banking System Investments (TT$Mn)","Commercial Banks & NFIs - Total Investment (Net) - TT$Mn","Commercial Banks & NFIs - Reserves (TT$Mn)","Commercial Banks & NFIs - Share Capital (TT$Mn)","Commercial Banks & NFIs - Total Loans Outstanding (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Loans (Net) (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Unincorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Other Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Real Estate Mortgage Loans (TT$Mn)"
"Nov-2012","48401.90","5236.8","21723.8","28292.0","24534.6","10325.0","21385.3","4727.8","7432.4","10395.3","323.9","36557.8","-15331.8","44322.9","26960.6","33528.8","58063.3","68388.4","89773.7","69594.8","91303.9","34859.6","89149.5","43010.5","18668.5","4905.8","6609.4","12655","3300.2","32513.1","28392.4","982.5","20422.8","53780.2","22126.8","23728.9","3610.9","52293.5","767","1990.2","1556.4","12506.9","126080","13458.5"
"Oct-2012","47781.60","5017","20947.0","25913.7","25804.7","11229.9","20580.4","4661.5","6987.8","10135.2","371.1","39142.8","-12324.2","44020.3","25964.1","30930.8","56735.4","67965.3","88545.7","69149.2","90100.6","37034.6","87315.8","42397","18653.3","4001.3","6659","12283.4","3321.9","32330.5","29105","1101.6","20275.3","53360.8","21818.1","23312.2","3344.8","51877.4","1233.6","2110.9","1541.2","12146.1","123893","13380"
"Sep-2012","47572.40","4962.2","20106.6","25663.9","25762.9","11142.7","20859.5","4656.9","7028.4","10267.3","371.4","40539","-10942.9","43855.8","25068.8","30626","56388.9","67531.6","88391.1","68757.4","89988.2","36905.6","86944.7","42287.1","18186.9","3882.7","6715.6","12291.6","3580.8","32236.2","29328.7","1103.3","20451.1","53445.3","21606.9","23398.9","3391.3","51939.1","1266.9","2273.7","1507.6","13084.5","125084","16333.4"
"Aug-2012","47260.80","4961.4","21280.3","25540.1","25509.2","10416.9","20700.1","4461.0","6990.1","10440.5","444.7","21892.3","-28156","42874.3","26241.7","30501.5","56010.7","66427.6","87127.7","67634.1","88779.0","35926.1","86352.5","42124.7","17415.4","4201.2","7333.6","11922","3355.7","31510.1","28191.8","1068.1","20238.2","51900.9","21477.8","23227.5","3278","50412.3","439.8","2000.8","1476.9","13019.7","123393","13024.8"
"Jul-2012","47040.20","4822.1","20357.3","23468.4","25210.5","10413.2","20350.5","4300.8","6937.0","10346.0","444.5","35791","-13549.7","42401.2","25179.3","28290.5","53501.0","63914.2","84264.8","65062.2","85857.3","35623.7","84044.1","42322.6","16221.8","3676.1","6259.7","12268.2","3295.8","29473.3","26675.1","1153.6","20078.4","51476.6","21176.8","23271.3","3131.2","50024.7","416.2","1930.1","1551.1","12395.7","120711","12879.5"
"Jun-2012","47060.00","4830.3","19884.1","24843.3","25302.4","10042.2","19860.6","4135.5","7208.3","9760.0","471.8","38446.7","-11525.6","42418.7","24714.3","29673.6","54976.0","65018.2","84878.8","66210.1","86542.5","35344.7","84138.1","41941.8","16376.7","3790.8","6250.7","12186.9","3591.2","29905","26588.7","964.5","19966.2","52019","21115.6","23370.8","3629.8","50535.5","414.7","1988.3","1499.7","12611.5","120994","15782.7"
"May-2012","46917.40","4726.4","19887.0","25146.5","24650.7","9781.6","19306.0","4292.3","6427.2","9891.4","444.4","37990.6","-11750.2","42118.1","24613.4","29872.9","54523.6","64305.2","83611.2","65578.6","85329.0","34432.3","83034.1","41231.9","16300.3","3893.1","6317.8","11614.1","3677.1","29081.6","26030.5","1130","19194.6","51880.3","21025","23124.6","3669.6","50481.9","502.8","2102.4","1455.9","13196.3","119907","12619.3"
"Apr-2012","46764.60","4747.7","20892.6","24977.4","24206.0","9925.0","19431.9","4586.5","6361.4","9908.3","446.1","35998.2","-13319.3","41776.5","25640.3","29725.2","53931.1","63856.1","83288.0","65138.4","85016.4","34130.9","83360.3","40755.1","15960.3","3870.1","6562.4","12459.5","3752.9","27914.7","24628.1","930.7","19274","51546.8","20988.8","23010.2","3633.1","50155.7","470.4","2041.9","1402.4","13688.3","120389","12530.8"
"Mar-2012","46903.10","4767.9","21586.5","26100.0","23865.0","9972.0","19387.4","4652.1","6123.8","9892.4","421.5","36707.3","-12844.5","42001.4","26354.3","30867.9","54732.9","64704.9","84092.3","66017.3","85826.2","33837","83540.1","40744.6","16076","4477","6590.6","11989.9","3662","26827.9","23943.7","1011.7","19171.5","51823.6","21034.3","23082.4","3648.7","50452.1","514.3","2098.9","1445.1","13724","120670","15462.1"
"Feb-2012","46720.10","4608.8","21062.6","25522.0","23152.7","9585.9","19596.7","4675.8","6044.2","10095.1","422.2","34486.7","-14705.5","41715.5","25671.4","30130.8","53283.5","62869.4","82466.1","64187.7","84206.6","32738.6","82354.7","39650.3","15923","3838","8234.7","12132.6","2576.2","24540.5","23070","1293","19026.6","51463","20990.6","22903.9","3647.4","50195.8","480.7","2000.7","1439.6","13926.4","119449","12348"
