"Date","Commercial Banks & NFIs - Regulatory Capital to Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier I Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier II Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Capital-to-Total Assets (%)","Commercial Banks & NFIs - Net Open Position in Foreign Exchange-to-Capital (%)","Commercial Banks & NFIs - Non-Performing Loans-to-Gross Loans (%)","Commercial Banks & NFIs - Non-Performing Loans (Net of Provisions)-to-Capital (%)","Commercial Banks & NFIs - Total Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - General Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Return on Assets (%)","Commercial Banks & NFIs - Return on Equity (%)","Commercial Banks & NFIs - Interest Margin-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Income-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Expenses-to-Gross Income (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Assets (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Short-Term Liabilities (%)","Commercial Banks & NFIs - Customer Deposits-to-Total (Non-Interbank) Loans (%)","Commercial Banks & NFIs - Foreign Currency Liabilities-to-Total Liabilities (%)"
"Dec-2013","25","23.7","1.3","13.3","13.9","4.3","7","49.9","37.4","0.5","1.6","2.5","16","59.5","40.5","62.2","26.8","35.7","178.3","26"
"Sep-2013","25.5","24.1","1.4","13.2","11.1","4.6","7.4","48.5","38.4","0.5","1.8","2.7","16.9","61.3","38.7","59.7","27.2","36.5","177.7","26.3"
"Jun-2013","25.8","23.5","2.3","13","10.9","4.5","6.9","52.2","40.8","0.5","1.8","2.5","15.6","62.2","37.8","57.5","27.1","35.9","178.5","27.9"
"Mar-2013","25.9","24.3","1.6","13.2","11.2","4.8","6.8","56.5","45.9","0.5","2.2","2.4","15","61.3","38.7","60.7","26.6","35.5","178.9","28.8"
"Dec-2012","25.7","24.3","1.5","13.3","10.7","5.5","8.5","49.9","39.9","0.5","2.2","3","18.5","61.1","38.9","61.3","24.7","33.1","176.9","28.6"
"Sep-2012","26.4","23.5","2.9","14.1","8.7","5.6","8.5","50.5","41.8","0.5","2.3","2.9","17.9","61.6","38.4","64.7","23.7","32.6","167.4","27.4"
"Jun-2012","27.5","23.7","3.8","14.5","9.6","6.1","9.8","46.8","38.6","0.5","2.4","3.2","20.2","62.2","37.8","64.2","24.6","34.2","166.5","28.3"
"Mar-2012","27.2","25","2.1","13.9","8.9","6.7","12.4","39.4","31.8","0.5","2.1","2.5","15.4","62.4","37.6","64.7","26.5","36.9","165.6","27.3"
"Dec-2011","26","24.3","1.7","13.5","10.4","6.2","11.9","36.7","29.5","0.4","1.8","2.8","17.7","61.5","38.5","58.1","26.7","37.3","163.8","27.9"
"Sep-2011","27.5","24.6","2.9","14.1","10","7.2","15","31.3","24.6","0.5","1.8","2.9","18","60.8","39.2","57.5","26","36.8","158.8","29.6"
