"Date","Central Government Debt Management Bills Issuances (TT$Mn)","Central Government Debt Management Bills Repayments (TT$Mn)","Central Government Debt Management Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Bill Issuances (TT$Mn)","Central Government Open Market Treasury Bill Repayments (TT$Mn)","Central Government Open Market Treasury Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Note Issuances (TT$Mn)","Central Government Open Market Treasury Note Repayments (TT$Mn)","Central Government Open Market Treasury Notes Outstanding (TT$Mn)","Liquidity Absorption Bonds Issuances (TT$M)","Liquidity Absorption Bonds Repayments (TT$M)","Liquidity Absorption Bonds Outstanding (TT$M)","Total Sterilized Debt Outstanding (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Allocations (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Conversions and Redemptions (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Outstanding (TT$M)","Central Government Domestic Bond Issues (TT$Mn)","Central Government Domestic Bond Repayments (TT$Mn)","Central Government Domestic Bonds Outstanding (TT$M)","Central Government Domestic Debt Outstanding (TT$Mn)","Central Government External Debt Outstanding (TT$Mn)","Central Government Total Debt Outstanding (TT$Mn)","Central Government External Debt Disbursements (US$Mn)","Central Government External Debt Amortization (US$Mn)","Central Government External Debt Interest Payments (US$Mn)","Central Government External Debt Service (US$Mn)","Central Government External Debt Outstanding (US$Mn)","Central Government External Bilateral Debt Outstanding (US$Mn)","Central Government External Multilateral Debt Outstanding (US$Mn)","Central Government External Commercial Debt Outstanding (US$Mn)","Central Government External Bonds Outstanding (US$Mn)","Guaranteed State-Owned Enterprise Debt Outstanding (TT$Mn)","Guaranteed Statutory Authorities Debt Outstanding (TT$Mn)","Contingent Liabilities Outstanding (TT$Mn)","Gross Public Sector Debt Outstanding (TT$Mn)","Net Public Sector Debt Outstanding (TT$Mn)","Central Government Domestic Debt to GDP Ratio (%)","Central Government External Debt to GDP Ratio (%)","Central Government Total Debt to GDP Ratio (%)","Contingent Liabilities Debt to GDP Ratio (%)","Gross Public Sector Debt to GDP Ratio (%)","Net Public Sector Debt to GDP Ratio (%)","Central Government External Debt Service Ratio (%)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Mar-2011","625","625","800","4690","4839.8","13393.3","172.8","172.8","5000","0","0","4748.2","23141.5","0","0","0","0","45.8","17763.2","37867.2","9835.2","47702.4","9.9","34.2","18.7","52.9","1514.4","135.1","521","358.4","500","12710.8","11394.8","24105.6","71540.7","48399.4","24","6.1","30.1","15.3","45.4","30.7","1.2"
"Dec-2010","650","650","800","3366.5","3809.3","13543.2","0","0","5000","0","0","4748.2","23291.4","0","0","0","0","109.1","17809","38084","10016.2","48100.2","129.5","9.8","11.8","21.5","1538.8","131.1","540.4","367.3","500","n.d","n.d","n.d","n.d","n.d","28.6","7.5","36.1","n.d","n.d","n.d","0.7"
"Sep-2010","625","625","800","3572.7","3518.1","13986","375","375","5000","0","0","4748.2","23734.2","0","0","0","0","50.6","17918.1","38647.4","9222.1","47869.5","42.3","32.1","6.7","38.7","1419","131.5","430.8","356.6","500","n.d","n.d","n.d","n.d","n.d","29.1","6.9","35.9","n.d","n.d","n.d","1.3"
"Jun-2010","650","650","800","5453","5721.6","13931.4","0","0","5000","0","0","4748.2","23679.6","0","0","0","794","423.3","17982.9","38800.2","9192.3","47992.5","44.2","6","23.6","29.6","1408.8","131.5","428.8","348.4","500","n.d","n.d","n.d","n.d","n.d","29.3","6.9","36.1","n.d","n.d","n.d","1"
"Mar-2010","625","625","800","4121.2","3621.2","14200","25","25","5000","0","0","4748.2","23948.2","0","0","0","3699.8","41.2","17612.2","38709","8963.7","47672.7","24.9","23.6","6.9","30.5","1370.6","130.9","419.5","320.2","500","n.d","n.d","n.d","n.d","n.d","29.2","6.7","35.9","n.d","n.d","n.d","1"
"Dec-2009","650","650","800","2619.1","3119.1","13740","183","183","5000","0","0","4748.2","23488.2","0","0","0","600.1","85.1","13953.6","34609.9","8924","43533.9","56.9","6.4","23.8","30.2","1369.3","122.7","437.4","309.2","500","n.d","n.d","n.d","n.d","n.d","28.9","7.4","36.3","n.d","n.d","n.d","1.2"
"Sep-2009","625","625","800","3433.1","3433.1","14240","1375.8","1325.8","5000","0","0","4748.2","23988.2","0","0","0","682","41.2","13438.6","34605.4","8380.5","42985.9","17.7","255.8","21.4","277.2","1318.8","103","431.7","284.1","500","n.d","n.d","n.d","n.d","n.d","28.9","6.9","35.8","n.d","n.d","n.d","11.1"
"Jun-2009","650","650","800","4700.9","4700.9","14240","0","50","4950","0","0","4748.2","23938.2","0","0","0","2148.5","103.3","12797.8","33928.4","9318.1","43246.5","30.9","53.4","28.9","82.3","1556.8","103","453.6","270.2","730","n.d","n.d","n.d","n.d","n.d","28.3","7.7","36","n.d","n.d","n.d","3.3"
"Mar-2009","625","625","800","3746.7","3696.7","14240","0","0","5000","0","0","4748.2","23988.2","0","0","0","0","41.2","10752.7","31943.1","9488","41431.1","69.1","25.2","20.4","45.6","1579.3","103","449.2","250.4","776.7","n.d","n.d","n.d","n.d","n.d","26.7","7.8","34.5","n.d","n.d","n.d","1.8"
"Dec-2008","650","650","800","3721.9","3721.9","14240","0","0","5000","0","0","4748.2","23988.2","0","0","0","0","61.6","11238.7","32447.2","9244.4","41691.6","48.8","8.6","44","52.6","1535.4","103","468.8","186.9","776.7","n.d","n.d","n.d","n.d","n.d","18.5","5.3","23.8","n.d","n.d","n.d","1.1"
